x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.587 20 20 18
1 3 6 0. 0. 0. 1. 0. 3. 46. 0. 4.495 67 34 63
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.518 43 43 43
1 3 6 0.465 0.465 0.465 0. 0. 3. 0. 0. 4.382 28 28 28
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.646 37 37 31
1 3 6 1. 1. 1. 1. 1. 3. 29. 12. 4.452 63 25 57
1 3 6 0.554 0.554 0.554 0. 0. 3. 0. 0. 4.372 31 31 31
1 3 6 2. 2. 2. 1. 1. 3. 13. 13. 4.508 18 18 18
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.544 22 22 22
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.561 42 29 36
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.343 57 57 57
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.475 17 17 13
1 3 6 0. 0. 0. 1. 1. 3. 31. 13. 4.504 66 31 66
1 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.495 31 31 31
1 3 6 0. 0. 0. 1. 0. 3. 29. 0. 4.521 56 25 48
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.399 22 22 22
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.613 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.57 39 39 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.557 47 47 43
1 3 6 0. 0. 0. 1. 0. 3. 38. 0. 4.537 72 38 72
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.495 39 39 37
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.392 18 18 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.485 38 38 36
1 3 6 0. 0. 0. 1. 1. 3. 48. 16. 4.653 81 36 81
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.478 69 45 63
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.521 24 24 24
1 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.534 31 31 31
