x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.537 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.59 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.458 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.432 0 0 0
1 3 6 0.485 0.485 0.485 0. 0. 3. 0. 0. 4.386 28 28 28
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.346 0 0 0
1 3 6 2. 2. 2. 1. 1. 3. 13. 13. 4.465 18 18 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.478 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.574 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.326 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.438 0 0 0
1 3 6 1. 1. 1. 1. 1. 3. 12. 12. 4.339 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.508 66 57 66
1 3 6 0. 0. 0. 1. 1. 3. 8. 8. 4.419 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.541 66 66 66
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.353 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.363 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.471 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.415 15 15 11
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.425 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 8. 8. 4.356 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.696 0 0 0
1 3 6 1. 1. 1. 1. 1. 3. 16. 16. 4.531 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.537 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.471 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.402 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.481 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.544 17 17 15
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.534 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.442 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.455 0 0 0
1 3 6 0.415 0.415 0.415 0. 0. 3. 0. 0. 4.501 31 31 31
1 3 6 0. 0. 0. 1. 1. 3. 8. 8. 4.524 0 0 0
